country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Afghanistan,2019,AFG,37856125,73085701943,0.038,0.001,10.4,0.209,2.047,20.063,6.989,53.458,0.53,0.275,0.426,0.275,0.142,0.221,3.273,0.086,,,,2.444,190.136,504.831,45.038,5.956,19.773,808.125,116.925,,1244.489,0.645,0,0,0.246,0.006,0.385,0.966,9.663,0.255,15.216,0.402,4.598,0.121,6.843,0.181,,,47.112,0.002,0.028,0.048,0.022,0.006,0.011,0.02,0.006,0.033,0.008,0.091,0.02,,0,0.003,0.198,0.056,,0.079,0.001,0.001,0.001,0,36.551,14.564,,
Afghanistan,2020,AFG,39068977,71417706295,0.061,0.002,11.119,0.719,6.909,16.717,-3.346,-16.677,0.428,0.234,0.356,0.285,0.156,0.237,3.635,0.093,,,,2.504,201.254,521.548,48.672,5.956,19.927,813.723,124.195,,1200.742,0.657,0,0,0.154,0.004,0.388,0.915,5.598,0.143,15.25,0.39,4.565,0.117,7.269,0.186,,,46.912,0.004,0.032,0.042,0.025,0.006,0.012,0.02,0.006,0.032,0.008,0.092,0.021,,0,0.002,0.124,0.066,,0.079,0.001,0.001,0.001,0,35.765,15.155,,
Africa,2019,,1348005692,,82.361,0.061,1456.083,64.896,4.665,3265.865,-66.785,-2.004,2.426,0.534,0.595,1.082,0.238,0.265,468.424,0.348,1441.593,1.071,0.236,1714.255,46837.715,163304.531,19791.008,3464.959,5732.631,150224.047,16134.86,,4214.992,,60.451,0.045,314.888,0.234,1.669,3.412,1809.796,1.344,1367.044,1.014,452.446,0.336,529.959,0.394,,,5681.833,5.097,3.926,7.781,3.186,4.1,2.817,6.424,2.558,19.129,2.413,17,2.787,,13.981,4.157,37.032,4.3,,8.633,0.053,0.072,0.135,0.01,4600.052,2249.174,-14.49,-0.995
Africa,2020,,1380821349,,80.279,0.058,1369.249,-86.834,-5.964,3265.188,-0.676,-0.021,2.368,0.547,0.635,0.993,0.229,0.266,430.714,0.312,1380.571,1.001,0.231,1794.534,48206.961,166569.719,20221.721,3519.728,6030.707,152120,16640.271,,3919.844,,54.769,0.04,298.076,0.216,1.536,3.295,1895.951,1.375,1350.993,0.978,471.501,0.341,505.412,0.366,,,5412.605,4.943,3.895,8.23,3.019,4.132,2.839,6.452,2.566,19.012,2.46,17.127,2.821,,13.692,3.963,41.978,4.623,,8.637,0.053,0.073,0.137,0.01,4550.47,2121.603,11.322,0.827
Africa (GCP),2019,,,,,,1456.068,,,,,,,,,,,,,,1441.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (GCP),2020,,,,,,1369.238,,,,,,,,,,,,,,1380.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,2019,ALB,2885011,33289747424,0.928,0.322,4.941,-0.254,-4.896,5.226,-0.629,-10.741,1.812,0.157,0.21,1.712,0.148,0.198,0.451,0.156,6.021,2.087,0.181,22.069,284.576,525.867,67.212,0.136,16.184,394.246,178.974,,8630.006,0.748,0.004,0.002,0.132,0.046,2.074,3.097,0.286,0.099,2.838,0.984,1.131,0.392,3.426,1.187,,,24.898,0.057,0.013,0.012,0.003,0.053,0.017,0.021,0.009,0.001,0.007,0.045,0.031,,0.001,0.002,0.006,0.028,,0.027,0,0,0,0,8.936,5.984,1.08,21.864
Albania,2020,ALB,2871950,32130726850,1.322,0.46,4.865,-0.075,-1.528,4.859,-0.368,-7.038,1.692,0.151,0.23,1.694,0.151,0.23,0.572,0.199,5.973,2.08,0.186,23.391,289.441,530.725,67.783,0.136,16.28,394.24,181.851,,7352.821,0.657,0,0,0.095,0.033,2.051,2.891,-0.006,-0.002,2.631,0.916,1.026,0.357,2.876,1.001,,,21.117,0.081,0.014,0.012,0.004,0.054,0.017,0.021,0.009,0.001,0.007,0.044,0.031,,0,0.001,0,0.026,,0.027,0,0,0,0,8.303,5.892,1.108,22.782
Algeria,2019,DZA,43294551,5.89905E+11,12.542,0.29,182.425,7.964,4.565,184.902,5.553,3.096,4.271,0.313,0.266,4.214,0.309,0.263,1.275,0.029,,,,191.047,4529.565,5583.952,116.132,702.635,1974.007,1293.935,1545.745,,16037.789,1.177,16.974,0.392,91.998,2.125,5.584,5.881,2.477,0.057,63.557,1.468,8.343,0.193,59.637,1.377,,,694.349,0.776,0.492,0.441,0.009,0.457,0.272,0.22,0.015,3.879,0.831,0.146,0.267,,3.926,1.215,0.051,0.484,,0.325,0.003,0.002,0.005,0,254.628,241.753,,
Algeria,2020,DZA,44042094,5.5982E+11,11.879,0.27,171.139,-11.286,-6.187,172.739,-12.163,-6.578,3.922,0.309,0.266,3.886,0.306,0.264,0.575,0.013,,,,202.926,4700.704,5756.691,116.707,720.165,2061.032,1295.536,1599.874,,14733.604,1.159,17.53,0.398,87.026,1.976,5.148,5.434,1.601,0.036,60.409,1.372,7.979,0.181,54.13,1.229,,,648.899,0.731,0.487,0.435,0.004,0.467,0.277,0.223,0.015,3.89,0.841,0.146,0.271,,4.382,1.157,0.035,0.495,,0.325,0.003,0.002,0.005,0,239.32,226.746,,
Andorra,2019,AND,76492,,0,0,0.491,-0.007,-1.471,0.492,0.002,0.359,6.432,,,6.419,,,0,0,,,,0,14.597,15.1,0,0,0.011,1.02,14.586,,,,0,0,0.004,0.048,6.935,7.977,0.001,0.013,0.083,1.083,0.041,0.534,0.487,6.37,,,,0,0.001,0.001,0,0,0.001,0.001,0,0,0,0,0.003,,0,0,0,0.004,,0.001,0,0,0,0,0.61,0.53,,
Andorra,2020,AND,77397,,0,0,0.377,-0.114,-23.134,0.372,-0.12,-24.391,4.806,,,4.876,,,0,0,,,,0,14.975,15.472,0,0,0.015,1.015,14.96,,,,0,0,0.004,0.048,5.358,6.285,-0.005,-0.07,0.08,1.038,0.037,0.473,0.374,4.828,,,,0,0.001,0.001,0,0,0.001,0.001,0,0,0,0,0.003,,0,0,0,0.003,,0.001,0,0,0,0,0.486,0.415,,
Angola,2019,AGO,32375633,1.61409E+11,1.124,0.035,22.21,-1.068,-4.588,84.302,-14.985,-15.092,2.604,0.522,0.886,0.686,0.138,0.234,,,,,,23.805,638.722,5015.481,,261.958,40.622,7165.017,310.737,,2937.561,0.589,4.371,0.135,2.429,0.075,1.666,5.319,62.092,1.918,49.451,1.527,17.922,0.554,14.286,0.441,,,95.105,0.07,0.06,0.201,,0.057,0.038,0.197,,1.446,0.017,0.811,0.054,,1.011,0.032,1.271,0.116,,0.355,0.002,0.003,0.006,0,172.219,53.944,,
Angola,2020,AGO,33451139,1.52309E+11,1.085,0.032,16.549,-5.661,-25.487,70.412,-13.89,-16.476,2.105,0.462,0.923,0.495,0.109,0.217,,,,,,24.89,655.272,5085.894,,265.467,43.11,7218.879,320.205,,2281.591,0.501,3.509,0.105,2.488,0.074,1.4,4.734,53.863,1.61,47.14,1.409,17.067,0.51,9.468,0.283,,,76.322,0.067,0.047,0.177,,0.057,0.039,0.197,,1.434,0.018,0.813,0.054,,0.877,0.033,1.193,0.087,,0.352,0.002,0.003,0.006,0,158.351,46.815,,
Anguilla,2019,AIA,14845,,0,0,0.143,0.011,8.333,,,,,,,9.626,,,,,,,,0,2.88,,,0,,,2.88,,,,0,0,,,,,,,,,0,0,0.143,9.626,,,,0,0,,,0,0,,,0,,,0,,0,,,0.001,,0,0,0,0,0,,,,
Anguilla,2020,AIA,14864,,0,0,0.136,-0.007,-5.128,,,,,,,9.121,,,,,,,,0,3.015,,,0,,,3.015,,,,0,0,,,,,,,,,0,0,0.136,9.121,,,,0,0,,,0,0,,,0,,,0.001,,0,,,0.001,,0,0,0,0,0,,,,
